不可重复,日语原文,中文翻译,使用声音文件,声音开始时间,声音结束时间
615,この問題は前に勉強した式を応用すれば、解ける。,这个问题应用之前学的公式就能解答。,res://assets/sounds/Chapter5_Section3.mp3,62.57,68.91
616,４つの中から一つを選択して、答えましょう。,请在4个选项中选择一个以后回答。,res://assets/sounds/Chapter5_Section3.mp3,71.26,76.28
617,次の言葉の中から当てはまるものを選びましょう。,请在以下词中选择合适的。,res://assets/sounds/Chapter5_Section3.mp3,78.68,84.11
618,この段落で筆者が意見を述べている。,这个段落陈述了笔者的看法。,res://assets/sounds/Chapter5_Section3.mp3,86.23,91.02
619,次の言葉を別の言葉に言い換えましょう。,下面这个词请用别的词表达。,res://assets/sounds/Chapter5_Section3.mp3,93.44,98.54
620,問題が難しくて、考え込んでしまった。,问题太难了，苦思了很久。,res://assets/sounds/Chapter5_Section3.mp3,100.93,105.72
621,問題を解く時間は限られている。,回答问题的时间有限。,res://assets/sounds/Chapter5_Section3.mp3,108.07,111.89
622,夏はビールに限る。,夏天就要有啤酒。,res://assets/sounds/Chapter5_Section3.mp3,111.89,114.85
623,N２になると、紛らわしい選択肢も増えてくる。,到N2会有很多容易混淆的选项。,res://assets/sounds/Chapter5_Section3.mp3,117.45,122.91
624,この問題は、いくら考えてもさっぱりわからない。,这个问题无论怎么想也完全不懂。,res://assets/sounds/Chapter5_Section3.mp3,125.2,130.76
625,わからない問題は勘を働かせて答える。,不会的问题都凭感觉回答。,res://assets/sounds/Chapter5_Section3.mp3,132.7,137.8
626,試験の本番が近づいてきて、緊張している。,正式考试越来越近，我很紧张。,res://assets/sounds/Chapter5_Section3.mp3,140,145.35
627,試験の日が迫ってきた。,考试迫在眉睫。,res://assets/sounds/Chapter5_Section3.mp3,147.46,150.61
628,彼に危険が迫っている。,他面临危机。,res://assets/sounds/Chapter5_Section3.mp3,150.61,154.64
629,合格を目指して、必死に頑張った。,以合格为目标拼命努力。,res://assets/sounds/Chapter5_Section3.mp3,156.55,161.19
630,受験生はいっせいに問題を読み始めた。,考生们一齐开始看问题。,res://assets/sounds/Chapter5_Section3.mp3,163.58,168.59
631,「終わりです」という声で、試験が終了した。,“到此结束”的话音调落，考试结束了。,res://assets/sounds/Chapter5_Section3.mp3,170.89,176.06
632,試験終了後、問題用紙と解答用紙が回収された。,考试结束后，问题纸和答题纸都被收走了。,res://assets/sounds/Chapter5_Section3.mp3,178.53,185.31
633,採点はコンピューターで行われる。,评分由电脑进行。,res://assets/sounds/Chapter5_Section3.mp3,187.48,191.77
634,彼なら、合格は確実だと思う。,他的话，合格绝对没有问题。,res://assets/sounds/Chapter5_Section3.mp3,194.07,198.34
635,田中教授の講義を受講することにした。,决定去听田中教授的课。,res://assets/sounds/Chapter5_Section4.mp3,2,7
636,講義の内容を、しっかり書き留める。,把讲义内容好好地记下来。,res://assets/sounds/Chapter5_Section4.mp3,9.34,13.88
637,経営学を学び、会社を経営するのが私の目標だ。,学习经营学，经营自己的公司是我的目标。,res://assets/sounds/Chapter5_Section4.mp3,16.08,22.59
638,大学では積極的に学ぼうとする心構えが必要だ。,在大学必须要有好好学习的思想准备。,res://assets/sounds/Chapter5_Section4.mp3,25.26,31.5
639,大学は学問の場である。,大学是学问的天地。,res://assets/sounds/Chapter5_Section4.mp3,33.65,37.69
640,この大学は科学の分野で知られている。,这所大学因科学领域而闻名。,res://assets/sounds/Chapter5_Section4.mp3,39.88,45.09
641,来年は新しい研究に取り組みたい。,明年将全面致力于新研究。,res://assets/sounds/Chapter5_Section4.mp3,47.25,52.17
642,この大学には意欲がある学生が多い。,这个大学里有很多积极向上的学生。,res://assets/sounds/Chapter5_Section4.mp3,54.49,59.65
643,セミナーに参加して、論文のテーマを思いついた。,参加了研讨会，想出了论文的题目。,res://assets/sounds/Chapter5_Section4.mp3,62.22,67.72
644,社会に役立つ機械を発明したい。,想发明对社会有帮助的机器。,res://assets/sounds/Chapter5_Section4.mp3,70.24,74.5
645,データを分析して、結果をレポートにまとめる。,分析数据，把结果整理进报告里。,res://assets/sounds/Chapter5_Section4.mp3,77.06,82.42
646,この研究は継続する価値がある。,这个研究有持续下去的价值。,res://assets/sounds/Chapter5_Section4.mp3,84.76,89.42
647,前回はほんの少し点が足らず、不合格だった。,上次就是差了那么一点点分数，没有及格。,res://assets/sounds/Chapter5_Section4.mp3,91.37,97.35
648,最近では、ほとんどの大学で留学生を受け入れている。,最近几乎所有的大学都招收留学生。,res://assets/sounds/Chapter5_Section4.mp3,99.78,106.08
649,この大学のキャンパスは、とても活気がある。,这个大学的校园非常有活力。,res://assets/sounds/Chapter5_Section4.mp3,108.3,113.43
650,先生の都合で今日は休講になった。,因为老师有事，今天停课了。,res://assets/sounds/Chapter5_Section4.mp3,115.91,120.97
651,大学には個性的な講師も多い。,大学里有很多有个性的讲师。,res://assets/sounds/Chapter5_Section4.mp3,123.22,127.96
652,先週、日本語の学会に出席した。,上星期出席了日语学会。,res://assets/sounds/Chapter5_Section4.mp3,130.25,135.38
653,このゼミに入れる学生は、ごくわずかだ。,能参加这个研究讨论小组的学生非常少。,res://assets/sounds/Chapter5_Section4.mp3,140.86,145.73
654,日本語で論理的な文を書くのは大変だ。,用日语写理论性的文章很困难。,res://assets/sounds/Chapter5_Section4.mp3,148.39,153.69
655,経済問題に関する意見を論じる。,论述有关对经济问题的观点。,res://assets/sounds/Chapter5_Section4.mp3,156.08,160.72
656,他人の論文を引用するときにはルールがある。,引用别人论文时有一定的规则。,res://assets/sounds/Chapter5_Section4.mp3,163.18,168.74
657,論文を英語に訳して、雑誌で発表する。,把论文翻译成英语发表在杂志上。,res://assets/sounds/Chapter5_Section4.mp3,171.16,176.85
658,この文は少し編集が必要だ。,这篇文章需要稍微编辑一下。,res://assets/sounds/Chapter5_Section4.mp3,179.21,183.79
659,レポートの要旨を800字程度にまとめた。,用800字左右总结了报告要旨。,res://assets/sounds/Chapter5_Section4.mp3,185.84,191.41
660,論文では言いたいことを明確にすることが重要だ。,在论文里明确地表达想表达的内容很重要。,res://assets/sounds/Chapter5_Section4.mp3,194.08,200.33
661,具体的な例を挙げて、論文の主張をサポートする。,举出具体的例子，支持论文的论点。,res://assets/sounds/Chapter5_Section4.mp3,202.69,208.89
662,データを用いて、問題を分析する。,用数据分析问题。,res://assets/sounds/Chapter5_Section4.mp3,211.51,216.44
663,手書きのレポートは受け付けません。,不接受手写的报告。,res://assets/sounds/Chapter5_Section4.mp3,218.62,222.72
664,レポートを二日で一気に書いた。,报告一口气用两天写完了。,res://assets/sounds/Chapter5_Section4.mp3,225.43,230.16
665,何度も書き直して、やっとレポートが完成した。,修改了很多次，终于完成报告了。,res://assets/sounds/Chapter5_Section4.mp3,232.54,237.99
666,パソコンを起動する。,启动电脑。,res://assets/sounds/Chapter5_Section5.mp3,2,5.25
667,このパソコンの本体は日本製だ。,这台电脑的主机是日本产的.,res://assets/sounds/Chapter5_Section5.mp3,7.49,11.87
668,彼はキーボードを見ずに入力できる。,他能不看键盘打字。,res://assets/sounds/Chapter5_Section5.mp3,14.12,18.68
669,大きなディスプレイだと、画面が見やすい。,大的显示器看起来舒服。,res://assets/sounds/Chapter5_Section5.mp3,20.98,25.53
670,インターネットに接続して、検索する。,联网后查。,res://assets/sounds/Chapter5_Section5.mp3,27.91,32.44
671,日本語研究の論文を検索する。,搜索日语研究的论文。,res://assets/sounds/Chapter5_Section5.mp3,34.81,39.24
672,役に立ちそうな情報を友人に転送した。,看起来有用的信息转发给朋友。,res://assets/sounds/Chapter5_Section5.mp3,41.74,46.58
673,パソコンで文書を作る。,用电脑写文件。,res://assets/sounds/Chapter5_Section5.mp3,48.89,52.37
674,文字の設定を、もう少し大きくする。,把文字设定再弄大一点。,res://assets/sounds/Chapter5_Section5.mp3,54.85,59.56
675,上下の余白を２センチにする。,上下空出2厘米。,res://assets/sounds/Chapter5_Section5.mp3,61.85,65.83
676,細いフォントを選んで、メールを書く。,选择细一点的字体写邮件。,res://assets/sounds/Chapter5_Section5.mp3,68.04,72.31
677,カーソルが、うまく動かない。,光标移动得不顺畅。,res://assets/sounds/Chapter5_Section5.mp3,74.42,77.84
678,文章が読みやすいように改行する。,为文章看起来更舒服就换行。,res://assets/sounds/Chapter5_Section5.mp3,80,84.54
679,段落を区切るときには、改行して１字下げる。,分段的时侯按回车换行，再空一格。,res://assets/sounds/Chapter5_Section5.mp3,86.63,92.57
680,画像をコピーして、新規ファイルに貼り付ける。,复制图片粘贴到新文件里。,res://assets/sounds/Chapter5_Section5.mp3,94.83,99.9
681,文章の中で強調したい文字を太くする。,把文章内要强调的文字加粗。,res://assets/sounds/Chapter5_Section5.mp3,102.15,107.2
682,写真を少し拡大して、保存する。,稍微扩大一下照片再保存。,res://assets/sounds/Chapter5_Section5.mp3,109.33,113.79
683,過去のメールを消去した。,以前的邮件都删了。,res://assets/sounds/Chapter5_Section5.mp3,116.27,119.33
684,作った文書を上書き保存した。,覆盖保存写好的文件。,res://assets/sounds/Chapter5_Section5.mp3,121.99,126.62
685,スマホのアイコンの順序を並び替える。,排列智能手机的软件图标。,res://assets/sounds/Chapter5_Section5.mp3,128.63,133.16
686,完成した文書を印刷する。,把完成的文章打印出来。,res://assets/sounds/Chapter5_Section5.mp3,135.35,139.35
687,最近、プリンターの調子が悪い。,最近打印机不太好用。,res://assets/sounds/Chapter5_Section5.mp3,141.59,145.61
688,インクが少なくなってきたので、買っておこう。,墨水快没了，去买一下。,res://assets/sounds/Chapter5_Section5.mp3,147.95,152.78
689,求人のサイトをチェックする。,查査招聘网址的信息。,res://assets/sounds/Chapter6_Section1.mp3,2,5.82
690,A社の営業を志望している。,A 公司的销售部是我的志愿。,res://assets/sounds/Chapter6_Section1.mp3,7.99,11.82
691,いくつかの企業にエントリーした。,我申请了几个公司。,res://assets/sounds/Chapter6_Section1.mp3,14.17,18.13
692,福祉の仕事に携わりたい。,我想从事福利的工作。,res://assets/sounds/Chapter6_Section1.mp3,20.57,24.35
693,専門が生かせる仕事をしたい。,想做能活用自己专业的工作。,res://assets/sounds/Chapter6_Section1.mp3,26.51,30.72
694,ぜひ、貴社で働かせていただきたいです。,我很想在贵公司工作。,res://assets/sounds/Chapter6_Section1.mp3,32.75,37.59
695,会社への手紙には会社名の後に「御中」と書く。,給公司写信時在公司名后面写上「公启」。,res://assets/sounds/Chapter6_Section1.mp3,40.13,46.68
696,面接で志望の動機をうまく伝える。,面试时自如地表达志愿动机。,res://assets/sounds/Chapter6_Section1.mp3,48.8,53.91
697,面接では入社したいという熱意を見せた。,面试时展现了自己想入社的热情。,res://assets/sounds/Chapter6_Section1.mp3,56.05,61.31
698,履歴書に学歴や資格を書く。,在简历上写学历和资质。,res://assets/sounds/Chapter6_Section1.mp3,63.86,68.49
699,求人広告に経験不問と書いてある。,招聘信息上写着不问经验。,res://assets/sounds/Chapter6_Section1.mp3,70.62,75.83
700,求人広告に年齢の制限は書いていない。,招聘广告上没有写年龄限制。,res://assets/sounds/Chapter6_Section1.mp3,78.3,84.26
701,私の趣味・特技は、テニスと料理です。,我的爱好和特长是网球和料理。,res://assets/sounds/Chapter6_Section1.mp3,86.48,91.82
702,面接では、同僚と協調できるかをチェックされる。,在面试时被考量是否能和同事相辅相成。,res://assets/sounds/Chapter6_Section1.mp3,94.33,100.13
703,日本の会社では協調性が肝心だ。,在日本公司协调性是很重要的。,res://assets/sounds/Chapter6_Section1.mp3,102.86,107.71
704,志望の会社に採用されたら、精一杯頑張りたい。,被志愿公司录取的话，一定会全力以赴。,res://assets/sounds/Chapter6_Section1.mp3,110.37,116.02
705,面接で上手に自分をアピールできるか心配だ。,担心面试时是否能很好地宣传自己。,res://assets/sounds/Chapter6_Section1.mp3,118.39,124.38
706,面接の質問に、しっかり対応できたと思う。,觉得很好地对应了面试的问题。,res://assets/sounds/Chapter6_Section1.mp3,126.73,131.94
707,いろいろな企業の合同説明会に参加した。,参加了各种企业的联合说明会。,res://assets/sounds/Chapter6_Section1.mp3,134.21,139.18
708,この会社では語学のできる人が望ましいそうだ。,听说这个公司希望能找有语言能力的人。,res://assets/sounds/Chapter6_Section1.mp3,141.95,147.32
709,面接には黒か紺のスーツが好ましい。,面试时穿黑色或深蓝色的套装比较讨喜。,res://assets/sounds/Chapter6_Section1.mp3,149.82,155.11
710,この会社の採用は公平に決められる。,这个公司公平录用。,res://assets/sounds/Chapter6_Section1.mp3,159.26,164.34
711,せめて、一社だけでも内定が欲しい。,想要哪怕至少一家的内定。,res://assets/sounds/Chapter6_Section1.mp3,166.54,171.14
712,第一志望だった企業から、通知を受け取った。,收到了第一志愿的公司的通知。,res://assets/sounds/Chapter6_Section1.mp3,173.44,178.8
713,三つの会社から内定をもらった。,三个公司都给我内定了。,res://assets/sounds/Chapter6_Section1.mp3,181.35,185.58
714,第一志望の会社以外は、すぐに辞退した。,除了第一志愿的公司以外，其他都马上推辞了。,res://assets/sounds/Chapter6_Section1.mp3,187.73,193.06
715,希望していた会社と契約できて、うれしい。,能和想去的公司签合同太开心了。,res://assets/sounds/Chapter6_Section1.mp3,195.45,200.16
716,4月の入社が、とても楽しみだ。,4月就要入社了很期待。,res://assets/sounds/Chapter6_Section1.mp3,202.51,206.76
717,社会人と学生との違いを心得ておく。,要明白社会人和学生的区别。,res://assets/sounds/Chapter6_Section1.mp3,209.25,214.19
718,先輩から社会人としての心得を教わる。,向前辈请教了作为社会人的心得体会。,res://assets/sounds/Chapter6_Section1.mp3,216.47,221.77
719,就職後は社会人としての自覚を持とう。,就职以后要有作为社会人的自觉。,res://assets/sounds/Chapter6_Section1.mp3,224.02,229.19
720,いよいよ、春から社会人だ。,终于春天就要成为社会人了。,res://assets/sounds/Chapter6_Section1.mp3,231.61,235.31
721,日本の企業のうち、大企業は 0.3 パーセントだ。,日本企业中，大企业占 0.3%。,res://assets/sounds/Chapter6_Section2.mp3,2.09,8.35
722,A 社は大手ではないが、有名な会社だ。,A 公司不是大公司，但很有名。,res://assets/sounds/Chapter6_Section2.mp3,10.51,15.68
723,私の会社は日本を代表するメーカーの一つだ。,我们公司是日本的代表厂商之一。,res://assets/sounds/Chapter6_Section2.mp3,18.17,23.61
724,公務員ではなく、民間の企業で働きたい。,不做公务员，想在民间企业工作。,res://assets/sounds/Chapter6_Section2.mp3,25.98,31.13
725,大企業は多くの組織で構成されている。,大企业是由很多组织体系构成的。,res://assets/sounds/Chapter6_Section2.mp3,33.4,38.56
726,"この会社の従業員は約 1,000 人だ。",这个公司的员工有约 1000 人。,res://assets/sounds/Chapter6_Section2.mp3,41.16,45.82
727,4 月には新入社員の研修が行われる。,4 月举行新社员的培训。,res://assets/sounds/Chapter6_Section2.mp3,48.47,53.65
728,A社は派遣社員ではなく、正社員を希望している。,A公司不要派遣职员而是希望找正式职员。,res://assets/sounds/Chapter6_Section2.mp3,56.23,62.27
729,被は社長でもあり、オーナーでもある。,他既是社长也是公司的所有人。,res://assets/sounds/Chapter6_Section2.mp3,64.41,69.09
730,新入社員なので、なかなか重役と会う機会がない。,因为是公司新人，很难有担当要任的机会。,res://assets/sounds/Chapter6_Section2.mp3,71.5,77.57
731,オフィスが郊外に移転した。,办公室搬到郊区去了。,res://assets/sounds/Chapter6_Section2.mp3,79.67,83.57
732,給料は月末に支給される。,工资月末支付。,res://assets/sounds/Chapter6_Section2.mp3,85.9,89.82
733,出世して、社長になりたい。,发迹了想做老板。,res://assets/sounds/Chapter6_Section2.mp3,92.02,95.9
734,課長が部長に昇進した。,科长晋升为部长了。,res://assets/sounds/Chapter6_Section2.mp3,98.28,102.17
735,うちの会社は転勤が多い。,我们公司调职很多。,res://assets/sounds/Chapter6_Section2.mp3,104.57,108.45
736,家族を残して、大阪支社へ赴任する。,把家人留下赴任去大阪分公司。,res://assets/sounds/Chapter6_Section2.mp3,110,115.21
737,この会社は有給休暇が取りやすい。,这个公司请带薪假不难。,res://assets/sounds/Chapter6_Section2.mp3,117.96,122.48
738,ある日、人事の担当者に呼ばれた。,有一天被叫到人事负责人那里去了。,res://assets/sounds/Chapter6_Section2.mp3,124.73,129.09
739,A社には今年も優秀な人材が集まった。,A 公司今年也汇聚了很多优秀的人才。,res://assets/sounds/Chapter6_Section2.mp3,131.47,137.15
740,会社が忙しくなり、人手が足りない。,公司忙起来了，人手不够。,res://assets/sounds/Chapter6_Section2.mp3,139.24,143.93
741,お店や商品のモニターをして、ポイントをもらった。,对商店或是商品进行评论获得了积分。,res://assets/sounds/Chapter6_Section2.mp3,146.28,151.96
742,彼の会社は毎年業績が伸びている。,他们公司每年业绩都上升。,res://assets/sounds/Chapter6_Section2.mp3,154.22,159.4
743,ビジネスマンは体が資本だ。,健康的身体是商人的本钱。,res://assets/sounds/Chapter6_Section2.mp3,161.72,165.68
744,会社が資本金を増やした。,公司增加了资本金。,res://assets/sounds/Chapter6_Section2.mp3,165.68,169.68
745,社長が今後の方針を述べた。,社长陈述了今后的方针。,res://assets/sounds/Chapter6_Section2.mp3,171.95,176.41
746,社会に貢献する企業になること、これが我々の方針だ。,成为为社会做贡献的企业是我们的方针。,res://assets/sounds/Chapter6_Section2.mp3,178.55,186.07
747,あの企業は時代に合った製品を開発している。,那个企业开发迎合时代发展的产品。,res://assets/sounds/Chapter6_Section2.mp3,188.22,193.94
748,この商品は売れ行きがいいそうだ。,这个商品好像销路很好。,res://assets/sounds/Chapter6_Section2.mp3,196.06,200.37
749,商品がヒットして、売り上げが伸びた。,商品大受欢迎 销售额增加了。,res://assets/sounds/Chapter6_Section2.mp3,202.65,206.95
750,この製品には予想以上にコストがかかりそうだ。,这个产品好像需要花比预想更多的成本。,res://assets/sounds/Chapter6_Section2.mp3,209.14,215.16
751,大きな仕事が終わり、責任を果たした。,完成了重大的工作，尽到了责任。,res://assets/sounds/Chapter6_Section2.mp3,217.34,222.2
752,上司の許可を得て、休暇を取った。,获得上司的许可请假了。,res://assets/sounds/Chapter6_Section2.mp3,223.93,228.25
753,上司は部下の休暇を認めた。,上司同意了部下休假。,res://assets/sounds/Chapter6_Section2.mp3,230.73,234.87
754,自分の間違いを認めることが、成長につながる。,承认自己犯的错误是有助于成长的。,res://assets/sounds/Chapter6_Section2.mp3,234.87,240.36
755,この画家は世界に才能を認められた。,这个画家的才能被世界公认。,res://assets/sounds/Chapter6_Section2.mp3,240.36,244.87
756,日本でビジネスチャンスをつかみたい。,想在日本抓住做生意的机会。,res://assets/sounds/Chapter6_Section3.mp3,2,6.23
757,希望していた仕事に就くことができた。,能从事自己想做的工作了。,res://assets/sounds/Chapter6_Section3.mp3,8.19,12.33
758,仕事に生きがいを感じている。,通过工作能感受到人生的意义。,res://assets/sounds/Chapter6_Section3.mp3,14.58,18.3
759,給料よりやりがいが大切だ。,比起工资，工作的意义更重要。,res://assets/sounds/Chapter6_Section3.mp3,20.46,24.65
760,夢を抱いて、日本で働いている。,怀揣着梦想在日本工作。,res://assets/sounds/Chapter6_Section3.mp3,26.68,31.17
761,今日は３時から打ち合わせがある。,今天３点要洽谈。,res://assets/sounds/Chapter6_Section3.mp3,33.74,38.17
762,メールで打ち合わせのアポイントを取った。,用邮件预约了洽谈。,res://assets/sounds/Chapter6_Section3.mp3,40.39,44.99
763,今日は朝から電話の応対で忙しい。,今天从早上开始电话一直很忙。,res://assets/sounds/Chapter6_Section3.mp3,47.01,51.96
764,部長に伝言をお願いできますか。,可以麻烦您转告部长吗？,res://assets/sounds/Chapter6_Section3.mp3,54.18,58.62
765,改めてこちらからご連絡します。,稍候我会再联络您的。,res://assets/sounds/Chapter6_Section3.mp3,61.06,65.35
766,この件は上司にじかに報告した方がいい。,这件事直接上报上司比较好。,res://assets/sounds/Chapter6_Section3.mp3,67.54,72.91
767,大きなプロジェクトが、もうすぐ始まる。,有一项大型项目就要开始了。,res://assets/sounds/Chapter6_Section3.mp3,75.36,80.08
768,プロジェクトが意図した通りに進まない。,项目无法按计划进行。,res://assets/sounds/Chapter6_Section3.mp3,82.2,86.74
769,新たなプロジェクトが進んでいる。,新项目进行中。,res://assets/sounds/Chapter6_Section3.mp3,89.03,93.02
770,先輩とチームを組んで、新しい企画を立ち上げる。,和前辈组队开始新计划。,res://assets/sounds/Chapter6_Section3.mp3,94.98,100.93
771,うちの会社は一流企業と取り引きがある。,我社和一流公司有生意往来。,res://assets/sounds/Chapter6_Section3.mp3,103.17,108.23
772,デザイナーにパンフレットのデザインを依頼する。,委托设计师设计宣传册。,res://assets/sounds/Chapter6_Section3.mp3,110.17,115.27
773,次のプロジェクトを任された。,被委任负责下一个项目。,res://assets/sounds/Chapter6_Section3.mp3,117.49,121.2
774,仕事の依頼を引き受けた。,接下了工作。,res://assets/sounds/Chapter6_Section3.mp3,123.59,127.07
775,彼女はいつもスマートに仕事をこなす。,她总是能很灵活地完成工作。,res://assets/sounds/Chapter6_Section3.mp3,129.16,134.04
776,上司に仕事の成果をほめられた。,工作上的成果被上司赞扬了。,res://assets/sounds/Chapter6_Section3.mp3,136.3,140.74
777,売り上げ目標を達成するために努力している。,为达成销售目标而努力。,res://assets/sounds/Chapter6_Section3.mp3,143.13,148.26
778,彼は、いつも効率よく作業を進める。,他总是高效地进行工作。,res://assets/sounds/Chapter6_Section3.mp3,150.47,155.61
779,この件は、しばらく保留させてください。,这件事先允许我保留一下。,res://assets/sounds/Chapter6_Section3.mp3,157.79,162.38
780,ミスが見つかったので、もう一度やり直した。,发现了错误重做一次。,res://assets/sounds/Chapter6_Section3.mp3,164.98,169.8
781,先日の件、お返事が遅れ、申し訳ございませんでした。,关于上次事情的回复晚了，非常抱歉。,res://assets/sounds/Chapter6_Section3.mp3,171.8,178.18
782,急用ができ、午後の会議に出られなくなった。,突然有急事下午的会议出席不了了。,res://assets/sounds/Chapter6_Section3.mp3,180.44,185.96
783,至急、この資料をコピーしてください。,请火速复印一下这份资料。,res://assets/sounds/Chapter6_Section3.mp3,187.97,192.59
784,仕事の手順を早く覚えたい。,想快点记住工作的步骤。,res://assets/sounds/Chapter6_Section3.mp3,194.82,198.6
785,今移動中なので、後で連絡します。,现在正在移动中，稍候联系您。,res://assets/sounds/Chapter6_Section3.mp3,201.06,205.61
786,大工になって、自分の家を建てたい。,想当木匠造一栋自己的家。,res://assets/sounds/Chapter6_Section3.mp3,207.81,212.3
787,身分証明書を忘れて、ガードマンに止められた。,忘了身份证被警卫拦住了。,res://assets/sounds/Chapter6_Section3.mp3,214.59,219.78
788,地位の高い人とは少し話しにくい。,和地位高的人很难对话。,res://assets/sounds/Chapter6_Section4.mp3,2,6.93
789,目上の人には敬語を使わないと失礼だ。,对于上级长辈不用敬语不礼貌。,res://assets/sounds/Chapter6_Section4.mp3,8.74,13.76
790,あの若者はお年寄りに敬意を持って話す。,那个年轻人对老年人带着敬意说话。,res://assets/sounds/Chapter6_Section4.mp3,15.57,21.37
791,目上の人を心から敬う。,由衷尊敬上级长辈。,res://assets/sounds/Chapter6_Section4.mp3,23.5,27.81
792,先輩の的確なアドバイスは、ありがたい。,对长辈的中肯建议感激不尽。,res://assets/sounds/Chapter6_Section4.mp3,30.01,34.75
793,祖父の忠告は今も役に立っている。,祖父的忠言至今受益匪浅。,res://assets/sounds/Chapter6_Section4.mp3,37.13,41.61
794,新入社員は先輩達にサポートしてもらう。,公司新人请前辈们支持。,res://assets/sounds/Chapter6_Section4.mp3,43.96,49.32
795,部下に対していばる上司には、なりたくない。,不想成对部下摆架子的上司。,res://assets/sounds/Chapter6_Section4.mp3,51.38,56.21
796,先輩に仕事を押し付けられた。,被迫接受了前辈的工作。,res://assets/sounds/Chapter6_Section4.mp3,58.47,62.6
797,先生、久しくご無沙汰しております。,老师，久未问安。,res://assets/sounds/Chapter6_Section4.mp3,64.82,69.49
798,ご無沙汰している先生から連絡があり、恐縮した。,久未问安的老师联系了我，真是过意不去。,res://assets/sounds/Chapter6_Section4.mp3,71.79,77.53
799,あの先輩は信頼できる人だと思う。,那个前辈是值得信赖的人。,res://assets/sounds/Chapter6_Section4.mp3,79.83,84.61
800,社員は会社の規則に従わなければならない。,社员必须遵守公司规定。,res://assets/sounds/Chapter6_Section4.mp3,86.91,92.4
801,上司は私の話を、いつもうなずきながら聞いてくれる。,上司总是一边点头一边听我说话。,res://assets/sounds/Chapter6_Section4.mp3,94.81,101.41
802,会社のために上司の意見に反論した。,为了公司的利益反驳了上司的意见。,res://assets/sounds/Chapter6_Section4.mp3,103.7,108.86
803,仕事のミスを上司にわびた。,工作上失误了，向上司道了歉。,res://assets/sounds/Chapter6_Section4.mp3,111.08,115.26
804,上司にやる気をアピールして、プロジェクトに参加した。,向上司表达了自己的干劲，参加了这个项目。,res://assets/sounds/Chapter6_Section4.mp3,117.49,123.28
805,あの人はお世辞がうまい。,那个人很会恭维。,res://assets/sounds/Chapter6_Section4.mp3,125.48,129.28
806,上司にごまをするなんて嫌だ。,我讨厌拍上司马屁这种事。,res://assets/sounds/Chapter6_Section4.mp3,131.72,136.12
807,夏と冬に、クライアントに上等なワインを贈る。,"夏冬, 赠送上等的红酒给客户。",res://assets/sounds/Chapter6_Section4.mp3,138.31,144.24
808,残業が毎日続くのは苦痛だ。,每天加班真苦恼。,res://assets/sounds/Chapter6_Section4.mp3,146.57,150.75
809,今日、部長夫人に初めてお会いした。,今天第一次见到了部长夫人。,res://assets/sounds/Chapter6_Section4.mp3,153.27,157.62
810,ベテランの上司にクライアントの情報を教えてもらう。,向经验丰富的上司请教了客户的信息。,res://assets/sounds/Chapter6_Section4.mp3,160.44,165.77
811,入社5年だが、まだ平社員だ。,进公司5年了但还只是个普通职员。,res://assets/sounds/Chapter6_Section4.mp3,168.53,172.86
812,来月で今の会社を退職する。,下个月就要离开现在的公司了.,res://assets/sounds/Chapter6_Section5.mp3,2,6.43
813,もっとかせげる会社に転職したい。,想换一个更能赚钱的公司。,res://assets/sounds/Chapter6_Section5.mp3,8.72,12.78
814,先週、会社を首になってしまった。,上周被解雇了。,res://assets/sounds/Chapter6_Section5.mp3,15.26,19.96
815,会社の売り上げが下がり、リストラされた。,公司的销售额下降，被裁员了。,res://assets/sounds/Chapter6_Section5.mp3,22.32,27.04
816,いつか独立して、自分の会社を持ちたい。,想有一天可以独立开自己的公司。,res://assets/sounds/Chapter6_Section5.mp3,29.53,34.55
817,独立する準備を着々と進めている。,自己独立出来的准备稳步进行中。,res://assets/sounds/Chapter6_Section5.mp3,38.73,43.48
818,今はフリーで仕事をしている。,现在自由职业。,res://assets/sounds/Chapter6_Section5.mp3,47.07,51.02
819,この雑誌はフリーです。ご自由にどうぞ。,这本杂志是免费的，请随意拿取。,res://assets/sounds/Chapter6_Section5.mp3,51.02,55.77
820,彼は会社への不平を並べた末、辞めた。,他列举了对公司的不满以后辞职了。,res://assets/sounds/Chapter6_Section5.mp3,58.03,63.42
821,今の仕事に満足していないので、転職したい。,对现在的工作不满意，想换工作。,res://assets/sounds/Chapter6_Section5.mp3,67.23,72.57
822,あと3年は、この会社で辛抱するつもりだ。,打算在这个公司再忍3年。,res://assets/sounds/Chapter6_Section5.mp3,74.76,79.96
823,嫌なことがあっても、辞めずにぐっと我慢する。,"即使有讨厌的事情也不辞职,不说什么忍耐着。",res://assets/sounds/Chapter6_Section5.mp3,82.25,87.58
824,彼は仕事のミスの責任を負って、退職した。,他为工作失误付了全责，辞职了。,res://assets/sounds/Chapter6_Section5.mp3,89.67,95.88
825,会社の雰囲気に溶け込めず、転職した。,还没融入公司的氛围就辞职了。,res://assets/sounds/Chapter6_Section5.mp3,98.08,103.06
826,やむを得ず、あと半年会社に残ることにした。,不得已决定半年后辞职。,res://assets/sounds/Chapter6_Section5.mp3,105.53,111.43
827,退職して、自分の会社を立ち上げた。,辞职后，成立了自己的公司。,res://assets/sounds/Chapter6_Section5.mp3,113.9,118.78
